Recipient.Organization,deliverychannels
Global Aid Network,NGOs and CSOs
Sedec-Hudec,Other
Children Cancer Centre of Lebanon,NGOs and CSOs
UN Economic Commission for Latin America,UN Multi
Islamic Development Bank,Other multi
Pharmaciens Sans Frontieres - Comite International,NGOs and CSOs
Africa Development Initiative,NGOs and CSOs
Afrique Secours Assistance,NGOs and CSOs
EspÈrance,NGOs and CSOs
Agir en Centrafrique,NGOs and CSOs
Kode ti kwa,NGOs and CSOs
Lions Clubs International Foundation,NGOs and CSOs
Regional Development and Protection Programme in the Middle East,Other multi
Djibouti Red Crescent Society,RCRC
Seeds of Hope (Bozzor Alamal),NGOs and CSOs
World Vision Zambia,NGOs and CSOs
Zakat Fund,NGOs and CSOs
GOALPrime Organization Nigeria,NGOs and CSOs
ASSODLO - Assoc. HaÔtienne pour la MaÓtrise des Sols et des Eaux,Other
CPH - ComitÈ Protos HaÔti,NGOs and CSOs
FTHS,Other
Plan Haiti,NGOs and CSOs
Great Commission Operation Mercy,NGOs and CSOs
Red Cross Society of the Democratic People's Republic of Korea,RCRC
University of Maryland Eastern Shore,Other
King Hussein Cancer Foundation,NGOs and CSOs
Charitable Heart Foundation,NGOs and CSOs
AlSham Assocation,NGOs and CSOs
Lebanese Association for Rehabilitation and Development,NGOs and CSOs
Arab Organization for Human Rights,NGOs and CSOs
SPARK,NGOs and CSOs
Multi-Partner Trust Fund,UN Multi
Zambia Red Cross Society,RCRC
Multinational Interim Force,UN Multi
International Academy for Leadership and Development (IALD),NGOs and CSOs
Benadir Charity Council,NGOs and CSOs
Communita Impegno Servizio Volontariato,NGOs and CSOs
"Yemen General Union of Sociologists, Social Workers and Psychologists",NGOs and CSOs
Yemen Alkhair For Relief and Development Foundation,NGOs and CSOs
Health and Education Association for Development,NGOs and CSOs
Fathurahman Charitable Association,NGOs and CSOs
Al Diaa Humanitarian Association,NGOs and CSOs
Faisal Educational Society,NGOs and CSOs
Guidance Educational And Welfare Society,NGOs and CSOs
Jamia Darussalam,Other
Jamia Islamia Ishaatul Uloom,NGOs and CSOs
Khanpur Azad Gram Unnayan Samity,NGOs and CSOs
Madeenathul-uloom Educational And Charitable Trust,NGOs and CSOs
Markazu Ihyail Fikril Islami Institute,NGOs and CSOs
Moulana Ali Miyan Nadwi Educational and Charitable Trust,NGOs and CSOs
Al-Jamia Saadatul Uloom Trust,Other
The Foundation for Advancing Development Integration,NGOs and CSOs
AS-SALAM EDUCATIONAL CENTRE,NGOs and CSOs
Assanabil Foundation,NGOs and CSOs
Kandil Development and Aid Association (Kandil Kalkƒ±nma ve Yardƒ±mla≈üma Derneƒüi),NGOs and CSOs
Sebil Insani Yardim Dernegi,Other
Mindanao Modern Education and Development Foundation,NGOs and CSOs
ONG Arpieca,NGOs and CSOs
Association Marhama,NGOs and CSOs
Islamic Committee of the International Crescent,Other multi
Self Help Africa,NGOs and CSOs
Durrell Wildlife Conservation Trust,NGOs and CSOs
Foundation for European Development Assistance,NGOs and CSOs
Senegalese Red Cross Society,RCRC
Arab Red Crescent and Red Cross Organization,RCRC
Sweet Mickey Foundation,NGOs and CSOs
Sierra Leone Red Cross Society,RCRC
Afghanischer Arzteverein in Deutschland e.V.,NGOs and CSOs
Hand by Hand Foundation,NGOs and CSOs
Selah Foundation for Development,Other
Action des Volontaires Unis pour le DÈveloppement et la SantÈ,NGOs and CSOs
Action pour la Promotion de líEnvironnement Social,NGOs and CSOs
Actions pour le DÈveloppement IntÈgral par la Conservation Communautaire,NGOs and CSOs
Association des Jeunes Islamiques pour le DÈveloppement,NGOs and CSOs
Synergie pour la lutte antimines,NGOs and CSOs
SolidaritÈ FÈminine pour la Paix et le DÈveloppement IntÈgral,NGOs and CSOs
CARITAS DEVELOPPEMENT MAHAGI-NIOKA,NGOs and CSOs
Caritas Kasongo,NGOs and CSOs
College Suisse/Fondation S.O.S,Other
ProVention,NGOs and CSOs
Angola Red Cross,RCRC
El Obeid,Public Sector
Association rwandaise des conseillers en traumatisme,NGOs and CSOs
Initiative DÈveloppement,NGOs and CSOs
United Nations Joint Logistics Centre,UN Multi
HÙpital de la CharitÈ d'Oulan-Bator,NGOs and CSOs
MEN,Other
Food for the Poor,NGOs and CSOs
Humanit‰re Hilfe f¸r,NGOs and CSOs
Danish Ethiopian Mission,Public Sector
Next Step Productions,NGOs and CSOs
African Mission in Burundi,Other
SaferAfrica,NGOs and CSOs
Switzerland,Public Sector
Federation of Women Lawyers in Kenya,NGOs and CSOs
CDE - University Berne,NGOs and CSOs
Nicaragua,Public Sector
Africa Educational Trust,NGOs and CSOs
Lichtbr¸cke e.V,NGOs and CSOs
NETZ,Other
Evangelical Development Programme,NGOs and CSOs
Palestine Solidarity Organisation in Sweden,NGOs and CSOs
Tibet House Trust,NGOs and CSOs
AWWD,NGOs and CSOs
Committee for the Promotion of Medical and Humanitarian Aid in Afghanistan,NGOs and CSOs
Nachbar in Not,Other
Swedish Convenant Church,NGOs and CSOs
"International Centre for Diarrhoeal Disease Research, Bangladesh",NGOs and CSOs
AH Dames Suisse,NGOs and CSOs
Norwegian Search and Rescue,Public Sector
United Nations Transitional Authority in East Timor,UN Multi
Romania,Public Sector
Japan Overseas Cooperation Volunteers,NGOs and CSOs
German Doctors for Developing Countries,NGOs and CSOs
Grenada,Public Sector
World Animal Protection,NGOs and CSOs
Halo Partnership,NGOs and CSOs
Physicians for Human Rights,NGOs and CSOs
International Crisis Group,NGOs and CSOs
Kenya Land Alliance,NGOs and CSOs
Nordic International Rescue Foundation,NGOs and CSOs
University of Geneva,NGOs and CSOs
United States Catholic Conference,Other
Office of Preparedness for Disasters and Emergencies,Public Sector
"SociÈtÈ Axis, Centre orthopÈdique d'Assomption",NGOs and CSOs
ACT Alliance / Ethiopian Orthodox Church,NGOs and CSOs
Emergency Relief International,NGOs and CSOs
African Union Mission in Sudan,Other multi
NIISO,Other
Qandil Swedish Humanitarian Aid Organization,NGOs and CSOs
Yasska Foundation,NGOs and CSOs
JCS - Joint Christian Services,NGOs and CSOs
SAF - Science and Arts Foundation,NGOs and CSOs
Hilfsgemeinschaft Lippe e.V,NGOs and CSOs
Haukari e.V,NGOs and CSOs
Victims of Torture,NGOs and CSOs
United Nations International Drug Control Programme,UN Multi
Institute for International Social Affairs,NGOs and CSOs
Management Services for Health,Other
RONCO Consulting Corporation,Other
UN Mine Action Program,UN Multi
Agency for rehabilitation and Energy-Conservation in Afghanistan,NGOs and CSOs
Monitoring Evaluation And Training Agency,NGOs and CSOs
Kinder brauchen uns e.V,NGOs and CSOs
Afghan Center,Other
Matrix,Other
Helfende H‰nde e.V.,NGOs and CSOs
Balkanactive van de gemeenten,NGOs and CSOs
Freundschaftsbrucke-Kinder der Perestroika e.V,Other
Hilfe fur Kinder in Not e.V,NGOs and CSOs
Commission of Real Property Claims,Other
Sezam,NGOs and CSOs
Werkgroep Nederland Srebrenica,NGOs and CSOs
WEUDAM - WEU De-mining Assistance Mission,NGOs and CSOs
Lutherischer Weltbund Deutsches Nationalkomitee,NGOs and CSOs
Arbeiterwohlfahrt Bayern,Other
Hammer Forum e.V,NGOs and CSOs
VEH,Other
VEH/HAD,Other
International Alliances,Other
Mala Sirena,Other
Georg Dechentreiter Wohlfahrtsstiftung,NGOs and CSOs
America's Development Foundation,NGOs and CSOs
Danish People's Relief Association,NGOs and CSOs
Rape Crisis Centre,NGOs and CSOs
Housing and Property Directorate,Other
International Commission on Missing Persons,NGOs and CSOs
Danube Commission,Other multi
Action for Independent Media,Other
World Conference on Disaster Reduction,UN Multi
Botswana,Public Sector
Centre palestinien des droits de l'homme,NGOs and CSOs
Four Homes of Mercy,NGOs and CSOs
IHS,Other
Las Dignas,NGOs and CSOs
Canadian Development and Peace,NGOs and CSOs
Ottawa Convention Sponsorship Programme,Other
Mediothek f¸r Afghanistan e.V,NGOs and CSOs
Tamil Rehabilitation Organisation,NGOs and CSOs
IOGT-NTO,Other
International Relief Teams,NGOs and CSOs
Malaysia Red Crescent Society,RCRC
EXNORA,NGOs and CSOs
Foundation for Co-existence,NGOs and CSOs
Norwegian Tamils Health Organisation,NGOs and CSOs
Spain,Public Sector
BMI,Other
Sa˙de em PortuguÍs,NGOs and CSOs
Hr˙z,Other
Millenium Project Hunger Task Force,UN Multi
European Commission's Humanitarian Aid and Civil Protection Department,Public Sector
Nurani Dunia,NGOs and CSOs
Malta Red Cross Society,RCRC
Seychelles Red Cross Society,RCRC
Nathan Associates,Other
South African Red Cross Society,RCRC
Danish Bilharziasis Laboratory,NGOs and CSOs
SOS Malta,NGOs and CSOs
Slovak Red Cross,RCRC
Danish Refugee Board,NGOs and CSOs
Scottish Catholic International Aid Fund,NGOs and CSOs
Somalischer Verein e.V.,Other
Volunteer Corpes-Greek Firemen Replanters,Other
Heart Doctors,NGOs and CSOs
European Perspective,NGOs and CSOs
IBM,Other
Basic Needs,Other
Mongolian Red Cross,RCRC
Guyana,Public Sector
Guyana Red Cross Society,RCRC
Espana con ACNUR,UN Multi
SSB,Other
Soroptimist International,NGOs and CSOs
PHRO - Palestinian Human Rights Organisation,NGOs and CSOs
ROPKA International,NGOs and CSOs
OCAPROCE,NGOs and CSOs
Commonwealth Secretariat,Other multi
Stromme Foundation,NGOs and CSOs
European Investment Bank,Other multi
Disaster Mitigation Institute,NGOs and CSOs
American Center for International Labor,NGOs and CSOs
Peace and Conflict Institution,NGOs and CSOs
Aide et Action,NGOs and CSOs
Serbia and Montenegro,Public Sector
Foundation Together,NGOs and CSOs
Inter-American Development Bank,Other multi
World Vision El Salvador,NGOs and CSOs
Health Partners International Canada,NGOs and CSOs
Gifts in kind International,NGOs and CSOs
Afghanistan-Hilfe e.V.,NGOs and CSOs
Dialog International e.V.,Other
ATLAS,NGOs and CSOs
Cook Islands,Public Sector
Crisis Management Initiative,NGOs and CSOs
European Centre for Conflict Prevention,NGOs and CSOs
Coalition for International Justice,NGOs and CSOs
ComitÈ de bienfaisance assyrien,NGOs and CSOs
Centre de RÈflexion Europe Afrique,NGOs and CSOs
FundaciÛn Amalaka,NGOs and CSOs
Help the Aged,NGOs and CSOs
Root of Grass,Other
Douleurs san FrontiËres,NGOs and CSOs
Voluntary Health Association of India,Other
Timor Leste,Public Sector
SurfAid,NGOs and CSOs
Handicap International France,NGOs and CSOs
WSP International,NGOs and CSOs
AIDER,Other
WODRANS - Women Orphans and Disabled Rehabilitation Assoc. of New Sudan,NGOs and CSOs
SIG - Canton's Industrial Services - Geneve (CH),Other
Foundation Limmat,NGOs and CSOs
Berne helps Lviv,Other
Foundation Politeon,NGOs and CSOs
NAC,Other
Oeuvres hospitaliËres franÁaises de l'Ordre de Malte,NGOs and CSOs
UN Voluntary Fund for Indigenous Populations,UN Multi
Diocese of Rumbek,NGOs and CSOs
KPR,Other
HBN,Other
JEOP - Joint Emergency Operation,Other
Berne University,NGOs and CSOs
African Development Bank,Other multi
Ibdesch Patenschaften,Other
Deutsches Institute f¸r Arztliche Mission,NGOs and CSOs
Aviation Assistance A/S,Other
GORTA,NGOs and CSOs
Belarus,Public Sector
AASAA,Other
ATAV - Assoc. Tsunami Aides aux Victimes,Other
United Nations Office in Burundi,UN Multi
Edith Wilkins Hope Foundation,NGOs and CSOs
Organization for African Unity,Other multi
Emergency Organization Group Copenhagen,Other
STARH Project,Other
IQC TBD,Other
Church of the Living God International,NGOs and CSOs
Genesis Software,Other
ICMA - International City/County Management Association,Other
South Sudanese Development Organization,NGOs and CSOs
Tear Australia,NGOs and CSOs
PRB,NGOs and CSOs
"Liberia Dujar Association, Sweden",NGOs and CSOs
Soeurs missionnaires de la charite (Mere Teresa),NGOs and CSOs
Riverside Technologies Inc.,Other
Operation USA,NGOs and CSOs
American Jewish World Service,NGOs and CSOs
International Aid,NGOs and CSOs
Episcopal Relief and Development,NGOs and CSOs
ACT Alliance / Christian Reformed World Relief Committee (Valid until August 2012),NGOs and CSOs
INMED Partnership for Children,NGOs and CSOs
Baptist World Aid,NGOs and CSOs
World Hope International,NGOs and CSOs
Trickle  Up Program,Other
Refugees International,NGOs and CSOs
International Reading Association,NGOs and CSOs
U.S. Committee for Refugees and Immigrants,Public Sector
Self Employment Womens' Association,NGOs and CSOs
Danish International Life Saving Association,NGOs and CSOs
Foyer Maurice Sixto,NGOs and CSOs
SociÈtÈ AlgÈrienne de Recherche en Psychologie,NGOs and CSOs
Karl Kubel Foundation for Children's Families,NGOs and CSOs
Seismic Risk Assessment and Mitigation in the Antakya-Maras Region,Other
"United Nations Mission in the DRC (Mission d'Observation des Nations Unies au Congo, MONUC)",UN Multi
Stonepath Logistics,Other
Checci & Company,Other
Air Cargo Associates,Other
International Development and Relief Foundation,NGOs and CSOs
Canadian Food for the Hungry International,NGOs and CSOs
Canadian Baptist Ministries,NGOs and CSOs
Canada,Public Sector
HIVOS,NGOs and CSOs
CRIC - Centro Regionale di Intervento per la Cooperazione,NGOs and CSOs
Greek Committee For International Democratic Solidarity,NGOs and CSOs
Mine Action Canada,NGOs and CSOs
Joint Christian Services International,NGOs and CSOs
SOS Faim,NGOs and CSOs
TIRUS - Maluku network of NGOs,NGOs and CSOs
Swedish Lutheran Aid,NGOs and CSOs
Healthnet International - Malaria Leishmaniasis Control Programme,NGOs and CSOs
United Nations Advance Mission in Sudan,UN Multi
Red Cross of Monaco,RCRC
Monaco Aide et Presence,NGOs and CSOs
World Jewish Aid,NGOs and CSOs
Belarusian Red Cross,RCRC
Progedes-Nicaragua,Other
Romanian Red Cross,RCRC
DZI - German Central Institute for Social Issues,Public Sector
United Way International,NGOs and CSOs
Give World,NGOs and CSOs
Thai Tsunami Victim Identification Group,Other
Human Development Foundation,NGOs and CSOs
Red Crescent Society of Kyrgyzstan,RCRC
Voluntary Service Overseas,NGOs and CSOs
ACT Alliance / Amity Foundation,NGOs and CSOs
Fl¸chtlingshilfe Langen e.V.,NGOs and CSOs
ComitÈ FranÁais pour la SolidaritÈ,NGOs and CSOs
Fondation de France,NGOs and CSOs
Partage,NGOs and CSOs
Un Enfant Par La Main,NGOs and CSOs
Asmae Soeur Emmanuelle,NGOs and CSOs
Bureau International Catholique de l'Enfance,NGOs and CSOs
Collectif Asie Enfants IsolÈs,NGOs and CSOs
Emma¸s International,NGOs and CSOs
Guilde du Raid,NGOs and CSOs
Enfants et DÈveloppement,NGOs and CSOs
National Peace Corps Association,NGOs and CSOs
Project HOPE,NGOs and CSOs
British Agencies Afghanistan Group,Other
Star of Hope,Other
Caritas India,NGOs and CSOs
"Association for Cooperation, Interchange and Culture",NGOs and CSOs
Swiss Centre for International Health,NGOs and CSOs
CARAES,NGOs and CSOs
International Institute of Tropical Agriculture,NGOs and CSOs
Uruguay,Public Sector
EuronAid,NGOs and CSOs
Lighthouse Association,NGOs and CSOs
Association of Medical Doctors of Asia International,NGOs and CSOs
Seychelles,Public Sector
Deniz Feneri Yardimlasma ve Dayanisma Dernegi,Other
Rural Support Programmes Network,Other
Primate's World Relief and Development Fund,NGOs and CSOs
Irish UNMIL Battalion,Other
TGK Consult,NGOs and CSOs
Slavik,Other
International Humanitarian Fund LIBA,Other
Open Continent,Other
United Nations Special Court for Sierra Leone,UN Multi
Foster Parents Plan Canada,NGOs and CSOs
Canadian Relief Foundation,NGOs and CSOs
ACT Alliance / Christian Aid Ministries Nehemia,NGOs and CSOs
People in Peril,NGOs and CSOs
United Nations Mission in Sudan,UN Multi
Central African Red Cross Society,RCRC
ASUR - Appui aux populations dÈplacÈes,NGOs and CSOs
AMICA e.V,NGOs and CSOs
Honduras,Public Sector
UNICEF National Committee/Canada,NGOs and CSOs
Verein zur Unterst¸tzung von Schulen f¸r afgh. Fl¸chtlingskinder e.V,NGOs and CSOs
United Nations Observer Mission in Georgia,UN Multi
Birdlife International,Other
RWSSP,NGOs and CSOs
Australian Aid International,NGOs and CSOs
Cyprus Red Cross,RCRC
Adam's Peak,Other
Atlas Logistique,NGOs and CSOs
European Union Border Assistance Mission,Public Sector
International Peace Academy,NGOs and CSOs
International Development Law Organisation,NGOs and CSOs
Irish Sri Lanka Trust Fund,Other
Acumet Catholic Parish,NGOs and CSOs
Nordic Demining Research Forum,NGOs and CSOs
Office of the Resident and Humanitarian Coordinator,UN Multi
Custodia Franciscana,NGOs and CSOs
Africa Directo,NGOs and CSOs
"Health, Development, Information and Policy Institute",NGOs and CSOs
Young Women's Christian Association/La Strada,NGOs and CSOs
