Recipient.Organization,recipientcodename
Hammer Forum e.V,NGOs
VEH,other
VEH/HAD,other
International Alliances,other
Mala Sirena,other
Georg Dechentreiter Wohlfahrtsstiftung,foundations
America's Development Foundation,foundations
Danish People's Relief Association,NGOs
Rape Crisis Centre,NGOs
Housing and Property Directorate,other
International Commission on Missing Persons,NGOs
Danube Commission,Other multi
Action for Independent Media,other
World Conference on Disaster Reduction,UN Multi
Botswana,National government
Centre palestinien des droits de l'homme,NGOs
Four Homes of Mercy,NGOs
IHS,other
Las Dignas,NGOs
Canadian Development and Peace,NGOs
Ottawa Convention Sponsorship Programme,other
Mediothek f¸r Afghanistan e.V,NGOs
Tamil Rehabilitation Organisation,NGOs
IOGT-NTO,other
International Relief Teams,NGOs
Malaysia Red Crescent Society,red cross
EXNORA,NGOs
Foundation for Co-existence,foundations
Norwegian Tamils Health Organisation,private individual/organisation
Spain,DAC governments
BMI,private sector corporations
Sa˙de em PortuguÍs,NGOs
Hr˙z,private sector corporations
Millenium Project Hunger Task Force,UN Multi
European Commission's Humanitarian Aid and Civil Protection Department,EC
Nurani Dunia,foundations
Malta Red Cross Society,red cross
Seychelles Red Cross Society,red cross
Nathan Associates,private sector corporations
South African Red Cross Society,red cross
Danish Bilharziasis Laboratory,academia/think/research
SOS Malta,NGOs
Slovak Red Cross,red cross
Danish Refugee Board,NGOs
Scottish Catholic International Aid Fund,NGOs
Somalischer Verein e.V.,other
Volunteer Corpes-Greek Firemen Replanters,other
Heart Doctors,NGOs
European Perspective,NGOs
IBM,private sector corporations
Basic Needs,other
Mongolian Red Cross,red cross
Guyana,National government
Guyana Red Cross Society,red cross
Espana con ACNUR,UN Multi
SSB,other
Soroptimist International,private individual/organisation
PHRO - Palestinian Human Rights Organisation,NGOs
ROPKA International,NGOs
OCAPROCE,NGOs
Commonwealth Secretariat,Other multi
Stromme Foundation,foundations
European Investment Bank,Other multi
Disaster Mitigation Institute,NGOs
American Center for International Labor,NGOs
Peace and Conflict Institution,academia/think/research
Aide et Action,NGOs
Serbia and Montenegro,National government
Foundation Together,foundations
Inter-American Development Bank,Other multi
World Vision El Salvador,NGOs
Health Partners International Canada,NGOs
Gifts in kind International,NGOs
Afghanistan-Hilfe e.V.,NGOs
Dialog International e.V.,private sector corporations
ATLAS,foundations
Cook Islands,National government
Crisis Management Initiative,NGOs
European Centre for Conflict Prevention,NGOs
Coalition for International Justice,NGOs
ComitÈ de bienfaisance assyrien,private individual/organisation
Centre de RÈflexion Europe Afrique,NGOs
FundaciÛn Amalaka,foundations
Help the Aged,NGOs
Root of Grass,other
Douleurs san FrontiËres,NGOs
Voluntary Health Association of India,other
Timor Leste,National government
SurfAid,NGOs
Handicap International France,NGOs
WSP International,NGOs
AIDER,other
WODRANS - Women Orphans and Disabled Rehabilitation Assoc. of New Sudan,NGOs
SIG - Canton's Industrial Services - Geneve (CH),other
Foundation Limmat,foundations
Berne helps Lviv,other
Foundation Politeon,foundations
NAC,other
Oeuvres hospitaliËres franÁaises de l'Ordre de Malte,NGOs
UN Voluntary Fund for Indigenous Populations,UN Multi
Diocese of Rumbek,private individual/organisation
KPR,other
HBN,private sector corporations
JEOP - Joint Emergency Operation,other
Berne University,academia/think/research
African Development Bank,Other multi
Ibdesch Patenschaften,other
Deutsches Institute f¸r Arztliche Mission,private individual/organisation
Aviation Assistance A/S,private sector corporations
GORTA,NGOs
Belarus,National government
AASAA,other
ATAV - Assoc. Tsunami Aides aux Victimes,other
United Nations Office in Burundi,UN Multi
Edith Wilkins Hope Foundation,foundations
Organization for African Unity,Other multi
Emergency Organization Group Copenhagen,other
STARH Project,other
IQC TBD,other
Church of the Living God International,private individual/organisation
Genesis Software,private sector corporations
ICMA - International City/County Management Association,other
South Sudanese Development Organization,NGOs
Tear Australia,NGOs
PRB,private individual/organisation
"Liberia Dujar Association, Sweden",NGOs
Soeurs missionnaires de la charite (Mere Teresa),private individual/organisation
Riverside Technologies Inc.,private sector corporations
Operation USA,NGOs
American Jewish World Service,NGOs
International Aid,NGOs
Episcopal Relief and Development,private individual/organisation
ACT Alliance / Christian Reformed World Relief Committee (Valid until August 2012),NGOs
INMED Partnership for Children,NGOs
Baptist World Aid,NGOs
World Hope International,NGOs
Trickle  Up Program,other
Refugees International,NGOs
International Reading Association,private individual/organisation
U.S. Committee for Refugees and Immigrants,DAC governments
Self Employment Womens' Association,NGOs
Danish International Life Saving Association,NGOs
Foyer Maurice Sixto,private individual/organisation
SociÈtÈ AlgÈrienne de Recherche en Psychologie,academia/think/research
Karl Kubel Foundation for Children's Families,foundations
Seismic Risk Assessment and Mitigation in the Antakya-Maras Region,other
"United Nations Mission in the DRC (Mission d'Observation des Nations Unies au Congo, MONUC)",UN Multi
Stonepath Logistics,private sector corporations
Checci & Company,private sector corporations
Air Cargo Associates,private sector corporations
International Development and Relief Foundation,NGOs
Canadian Food for the Hungry International,NGOs
Canadian Baptist Ministries,private individual/organisation
Canada,DAC governments
HIVOS,NGOs
CRIC - Centro Regionale di Intervento per la Cooperazione,NGOs
Greek Committee For International Democratic Solidarity,NGOs
Mine Action Canada,NGOs
Joint Christian Services International,private individual/organisation
SOS Faim,NGOs
TIRUS - Maluku network of NGOs,NGOs
Swedish Lutheran Aid,NGOs
Healthnet International - Malaria Leishmaniasis Control Programme,NGOs
United Nations Advance Mission in Sudan,UN Multi
Red Cross of Monaco,red cross
Monaco Aide et Presence,private individual/organisation
World Jewish Aid,NGOs
Belarusian Red Cross,red cross
Progedes-Nicaragua,other
Romanian Red Cross,red cross
DZI - German Central Institute for Social Issues,DAC governments
United Way International,NGOs
Give World,private individual/organisation
Thai Tsunami Victim Identification Group,other
Human Development Foundation,foundations
Red Crescent Society of Kyrgyzstan,red cross
Voluntary Service Overseas,NGOs
ACT Alliance / Amity Foundation,NGOs
Fl¸chtlingshilfe Langen e.V.,NGOs
ComitÈ FranÁais pour la SolidaritÈ,private individual/organisation
Fondation de France,foundations
Partage,NGOs
Un Enfant Par La Main,NGOs
Asmae Soeur Emmanuelle,private individual/organisation
Bureau International Catholique de l'Enfance,private individual/organisation
Collectif Asie Enfants IsolÈs,private individual/organisation
Emma¸s International,NGOs
Guilde du Raid,NGOs
Enfants et DÈveloppement,NGOs
National Peace Corps Association,NGOs
Project HOPE,NGOs
British Agencies Afghanistan Group,other
Star of Hope,other
Caritas India,NGOs
"Association for Cooperation, Interchange and Culture",NGOs
Swiss Centre for International Health,NGOs
CARAES,NGOs
International Institute of Tropical Agriculture,academia/think/research
Uruguay,National government
EuronAid,NGOs
Lighthouse Association,NGOs
Association of Medical Doctors of Asia International,NGOs
Seychelles,National government
Deniz Feneri Yardimlasma ve Dayanisma Dernegi,other
Rural Support Programmes Network,other
Primate's World Relief and Development Fund,NGOs
Irish UNMIL Battalion,other
TGK Consult,private individual/organisation
Slavik,other
International Humanitarian Fund LIBA,other
Open Continent,other
United Nations Special Court for Sierra Leone,UN Multi
Foster Parents Plan Canada,private individual/organisation
Canadian Relief Foundation,foundations
ACT Alliance / Christian Aid Ministries Nehemia,NGOs
People in Peril,NGOs
United Nations Mission in Sudan,UN Multi
Central African Red Cross Society,red cross
ASUR - Appui aux populations dÈplacÈes,NGOs
AMICA e.V,NGOs
Honduras,National government
UNICEF National Committee/Canada,NGOs
Verein zur Unterst¸tzung von Schulen f¸r afgh. Fl¸chtlingskinder e.V,NGOs
United Nations Observer Mission in Georgia,UN Multi
Birdlife International,other
RWSSP,private individual/organisation
Australian Aid International,NGOs
Cyprus Red Cross,red cross
Adam's Peak,other
Atlas Logistique,NGOs
European Union Border Assistance Mission,EC
International Peace Academy,academia/think/research
International Development Law Organisation,NGOs
Irish Sri Lanka Trust Fund,other
Acumet Catholic Parish,private individual/organisation
Nordic Demining Research Forum,academia/think/research
Office of the Resident and Humanitarian Coordinator,UN Multi
Custodia Franciscana,private individual/organisation
Africa Directo,NGOs
"Health, Development, Information and Policy Institute",NGOs
Young Women's Christian Association/La Strada,private individual/organisation
PLO DoRA,other
INETER,academia/think/research
ICIMOD,academia/think/research
Mali Red Cross,red cross
National Anti War Front,other
Red Cross Society of Niger,red cross
Kinderdorf Pestalozzi,foundations
SOS-Barnbyar Sweden,NGOs
Kristna Freds,NGOs
Parliamentary Forum,other
AVRE -Support to Victims for Emotional Recovery,other
Landmine Survivors Network,NGOs
Conrad N. Hilton Foundation,foundations
EPI-Center,NGOs
International NGO Training and Research Centre,academia/think/research
NEPCom,private sector corporations
SwissCor,other
Center for  Civil Military Relations,academia/think/research
CDA Collaborative Learning Projects. Inc.,NGOs
MEDECO,private sector corporations
B‰r + Leu,other
Islamic Institute of Autism,private individual/organisation
San Remo Institute for Humanitarian Law,academia/think/research
Abundant Life Church,NGOs
National Emergency Commission of Costa Rica,National government
Deutsches Komitee fur Katastrophenvorsorge e.V.,DAC governments
Corporacion andina de fomento,Other multi
Venezuelan Red Cross,red cross
Green Hope,NGOs
Organization of Petroleum Exporting Countries Fund,Other multi
Uruguayan Red Cross,red cross
CISANET/CSCQBE/MEJN,NGOs
Tsunami Evaluation Coalition,academia/think/research
Canadian Healthcare Association,private individual/organisation
Ecole Polytechnique FÈdÈrale De Lausanne,academia/think/research
Associazione Italiana Amici di Raoul Follereau,NGOs
Consultative Group on International Agricultural Research,academia/think/research
ZAF,other
Swiss Academy of Development,academia/think/research
Instituto Colombiano de Bienestar Familial,National government
PSR / IPPNW,private individual/organisation
Rawa Association,NGOs
Church of Jesus Christ (Johannesburg),private individual/organisation
Development Initiatives Access Link,other
Temporary International Presence in Hebron,other
Association libanaise de l'Ordre de Malte,foundations
Centre pour enfants des rues de Bel-Air,other
Rehabilitation and Research Centre for Torture Victims,NGOs
LEAD Trust,other
Holistic Management,NGOs
EQUIP Liberia,NGOs
The Swedish Fellowship of Reconciliation,NGOs
OpÈration villages roumains,private individual/organisation
Children's Relief,NGOs
Rainbow Gateway,other
Norske Menneskerettighetsfond,NGOs
Norsk forbund f. utv.hemmede,other
Stiftelsen Menneskeret.Huset,other
"Stavanger kommune, S¯lvberget KF Bibl.og kul",other
Norske Pinsemenigheters Ytremisjon,NGOs
Medicos en catastrofe (MEC),NGOs
Islamic African Relief Agency,NGOs
Education Action International,NGOs
Catholic Church of Khartoum,private individual/organisation
Global Health Foundation,foundations
Fundacion de Beneficencia Capacitas,foundations
REDOG,other
INFONOR,other
ChildFund Ireland,NGOs
Inuit Circumpolar Conference,NGOs
Development Education Network for Liberia,NGOs
United Nations Integrated Office in Sierra Leone,UN Multi
Alive and kicking,NGOs
Planeta,NGOs
SE-SINAPRED,other
Suriname,National government
Voluntariado Internacional para o Desenvolvimento Africano,NGOs
Danish Refugee Council/ICVA,NGOs
Suriname Red Cross,red cross
ESPE,other
FERT,other
Memorial Human Rights Centre,other
United Missions Mission in Liberia Irish Battalion,UN Multi
I-LIFE,other
Association pour la SantÈ Familiale (ASF),NGOs
Antenna Technologies Grands Lacs (ATGL),NGOs
Bureau des ≈ìuvres mÈdicales diocÈsaines (BDOM),NGOs
"DOCS HEAL AFRICA, Goma",NGOs
Alternative/SCF-UK,NGOs
Nile People's Peace Conference,NGOs
Service Social International,NGOs
CommunautÈ EvangÈlique au Kwango (CEK),private individual/organisation
Federation des ONG laiques Ì† Vocation Economique du Congo,NGOs
Maltese Aid Agency,National government
"Erikshj‰lpen, Sweden",NGOs
European Agency for Reconstruction,EC
Children Assistance Programme,NGOs
PA_05,other
ISPED,academia/think/research
PUMP AID,NGOs
Proximity Designs (formerly International Development Enterprises),private sector corporations
World Agroforestry Centre,academia/think/research
Parliamentarians for Global Action,NGOs
Initiative Congolaise pour la Gestion autonome des populations,NGOs
SOCIETE DE COOPERATION POUR LE DEVELOPPEMENT DE FIZI  (SOCOODEFI),NGOs
Swedish Refugee Aid,NGOs
International Peace Building Alliance/WSP International,other
UN Voluntary Trust Fund for Technical Cooperation,UN Multi
Marsh Arabs,other
Armenian Relief Society,NGOs
France,DAC governments
